id,ATM_0,ATM_1,ATM_2,ATM_3,ATM_4,ATM_5,ATM_6,ATM_7,ATM_8,ATM_9,ATM_10,ATM_11,ATM_12,ATM_13,ATM_14,ATM_15,ATM_16,ATM_17
ATM_0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ATM_1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ATM_2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ATM_3,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ATM_4,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
ATM_5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
ATM_6,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
ATM_7,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
ATM_8,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
ATM_9,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
ATM_10,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
ATM_11,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
ATM_12,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
ATM_13,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
ATM_14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
ATM_15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
ATM_16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
ATM_17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
