source,target,rate,type
H0|Normal,H0|Compromised,0.051293294387550536,internal
H0|Compromised,H0|Down,0.1625189294977749,internal
H0|Down,H0|Mitigated,0.10536051565782631,internal
H0|Mitigated,H0|Recovered,0.10536051565782631,internal
H0|Compromised,H1|Compromised,0.005,spatial
H0|Compromised,H2|Compromised,0.005,spatial
H0|Compromised,H3|Compromised,0.005,spatial
H0|Compromised,H4|Compromised,0.005,spatial
H1|Normal,H1|Compromised,0.051293294387550536,internal
H1|Compromised,H1|Down,0.1625189294977749,internal
H1|Down,H1|Mitigated,0.10536051565782631,internal
H1|Mitigated,H1|Recovered,0.10536051565782631,internal
H1|Compromised,H0|Compromised,0.005,spatial
H1|Compromised,H2|Compromised,0.005,spatial
H1|Compromised,H3|Compromised,0.005,spatial
H1|Compromised,H4|Compromised,0.005,spatial
H2|Normal,H2|Compromised,0.051293294387550536,internal
H2|Compromised,H2|Down,0.1625189294977749,internal
H2|Down,H2|Mitigated,0.10536051565782631,internal
H2|Mitigated,H2|Recovered,0.10536051565782631,internal
H2|Compromised,H0|Compromised,0.005,spatial
H2|Compromised,H1|Compromised,0.005,spatial
H2|Compromised,H3|Compromised,0.005,spatial
H2|Compromised,H4|Compromised,0.005,spatial
H3|Normal,H3|Compromised,0.051293294387550536,internal
H3|Compromised,H3|Down,0.1625189294977749,internal
H3|Down,H3|Mitigated,0.10536051565782631,internal
H3|Mitigated,H3|Recovered,0.10536051565782631,internal
H3|Compromised,H0|Compromised,0.005,spatial
H3|Compromised,H1|Compromised,0.005,spatial
H3|Compromised,H2|Compromised,0.005,spatial
H3|Compromised,H4|Compromised,0.005,spatial
H4|Normal,H4|Compromised,0.051293294387550536,internal
H4|Compromised,H4|Down,0.1625189294977749,internal
H4|Down,H4|Mitigated,0.10536051565782631,internal
H4|Mitigated,H4|Recovered,0.10536051565782631,internal
H4|Compromised,H0|Compromised,0.005,spatial
H4|Compromised,H1|Compromised,0.005,spatial
H4|Compromised,H2|Compromised,0.005,spatial
H4|Compromised,H3|Compromised,0.005,spatial
