source,target,rate,type
H0|Normal,H0|Compromised,0.030459207484708546,internal
H0|Compromised,H0|Down,0.10536051565782631,internal
H0|Down,H0|Mitigated,0.08338160893905106,internal
H0|Mitigated,H0|Recovered,0.07257069283483544,internal
H0|Compromised,H1|Compromised,0.02,spatial
H0|Compromised,H2|Compromised,0.02,spatial
H0|Compromised,H3|Compromised,0.02,spatial
H0|Compromised,H4|Compromised,0.02,spatial
H0|Compromised,H5|Compromised,0.02,spatial
H0|Compromised,H6|Compromised,0.02,spatial
H0|Compromised,H7|Compromised,0.02,spatial
H0|Compromised,H8|Compromised,0.02,spatial
H0|Compromised,H9|Compromised,0.02,spatial
H0|Compromised,H10|Compromised,0.02,spatial
H0|Compromised,H11|Compromised,0.02,spatial
H0|Compromised,H12|Compromised,0.02,spatial
H0|Compromised,H13|Compromised,0.02,spatial
H0|Compromised,H14|Compromised,0.02,spatial
H0|Compromised,H15|Compromised,0.02,spatial
H0|Compromised,H16|Compromised,0.02,spatial
H0|Compromised,H17|Compromised,0.02,spatial
H0|Compromised,H18|Compromised,0.02,spatial
H0|Compromised,H19|Compromised,0.02,spatial
H0|Compromised,H20|Compromised,0.02,spatial
H0|Compromised,H21|Compromised,0.02,spatial
H0|Compromised,H22|Compromised,0.02,spatial
H0|Compromised,H23|Compromised,0.02,spatial
H0|Compromised,H24|Compromised,0.02,spatial
H0|Compromised,H25|Compromised,0.02,spatial
H0|Compromised,H26|Compromised,0.02,spatial
H0|Compromised,H27|Compromised,0.02,spatial
H0|Compromised,H28|Compromised,0.02,spatial
H0|Compromised,H29|Compromised,0.02,spatial
H0|Compromised,H30|Compromised,0.02,spatial
H0|Compromised,H31|Compromised,0.02,spatial
H0|Compromised,H32|Compromised,0.02,spatial
H0|Compromised,H33|Compromised,0.02,spatial
H0|Compromised,H34|Compromised,0.02,spatial
H0|Compromised,H35|Compromised,0.02,spatial
H0|Compromised,H36|Compromised,0.02,spatial
H0|Compromised,H37|Compromised,0.02,spatial
H0|Compromised,H38|Compromised,0.02,spatial
H0|Compromised,H39|Compromised,0.02,spatial
H0|Compromised,H40|Compromised,0.02,spatial
H0|Compromised,H41|Compromised,0.02,spatial
H0|Compromised,H42|Compromised,0.02,spatial
H0|Compromised,H43|Compromised,0.02,spatial
H0|Compromised,H44|Compromised,0.02,spatial
H0|Compromised,H45|Compromised,0.02,spatial
H0|Compromised,H46|Compromised,0.02,spatial
H0|Compromised,H47|Compromised,0.02,spatial
H0|Compromised,H48|Compromised,0.02,spatial
H0|Compromised,H49|Compromised,0.02,spatial
H0|Compromised,H50|Compromised,0.02,spatial
H0|Compromised,H51|Compromised,0.02,spatial
H0|Compromised,H52|Compromised,0.02,spatial
H0|Compromised,H53|Compromised,0.02,spatial
H0|Compromised,H54|Compromised,0.02,spatial
H0|Compromised,H55|Compromised,0.02,spatial
H0|Compromised,H56|Compromised,0.02,spatial
H0|Compromised,H57|Compromised,0.02,spatial
H0|Compromised,H58|Compromised,0.02,spatial
H0|Compromised,H59|Compromised,0.02,spatial
H0|Compromised,H60|Compromised,0.02,spatial
H0|Compromised,H61|Compromised,0.02,spatial
H0|Compromised,H62|Compromised,0.02,spatial
H0|Compromised,H63|Compromised,0.02,spatial
H0|Compromised,H64|Compromised,0.02,spatial
H0|Compromised,H65|Compromised,0.02,spatial
H0|Compromised,H66|Compromised,0.02,spatial
H0|Compromised,H67|Compromised,0.02,spatial
H0|Compromised,H68|Compromised,0.02,spatial
H0|Compromised,H69|Compromised,0.02,spatial
H0|Compromised,H70|Compromised,0.02,spatial
H0|Compromised,H71|Compromised,0.02,spatial
H0|Compromised,H72|Compromised,0.02,spatial
H0|Compromised,H73|Compromised,0.02,spatial
H0|Compromised,H74|Compromised,0.02,spatial
H0|Compromised,H75|Compromised,0.02,spatial
H0|Compromised,H76|Compromised,0.02,spatial
H0|Compromised,H77|Compromised,0.02,spatial
H0|Compromised,H78|Compromised,0.02,spatial
H0|Compromised,H79|Compromised,0.02,spatial
H0|Compromised,H80|Compromised,0.02,spatial
H0|Compromised,H81|Compromised,0.02,spatial
H0|Compromised,H82|Compromised,0.02,spatial
H0|Compromised,H83|Compromised,0.02,spatial
H0|Compromised,H84|Compromised,0.02,spatial
H0|Compromised,H85|Compromised,0.02,spatial
H0|Compromised,H86|Compromised,0.02,spatial
H0|Compromised,H87|Compromised,0.02,spatial
H0|Compromised,H88|Compromised,0.02,spatial
H0|Compromised,H89|Compromised,0.02,spatial
H0|Compromised,H90|Compromised,0.02,spatial
