time,Normal,Compromised,Down,Mitigated,Recovered
0,6.59,0.41,0.0,0.0,0.0
1,6.36,0.59,0.05,0.0,0.0
2,6.04,0.86,0.08,0.02,0.0
3,5.72,1.04,0.2,0.04,0.0
4,5.48,1.17,0.31,0.03,0.01
5,5.17,1.3,0.45,0.07,0.01
6,4.92,1.35,0.59,0.12,0.02
7,4.61,1.45,0.76,0.15,0.03
8,4.32,1.6,0.8,0.25,0.03
9,4.09,1.65,0.93,0.29,0.04
10,3.74,1.84,1.02,0.3,0.1
11,3.44,1.93,1.13,0.39,0.11
12,3.27,1.83,1.28,0.47,0.15
13,2.98,1.89,1.36,0.55,0.22
14,2.74,1.87,1.45,0.67,0.27
15,2.62,1.78,1.5,0.8,0.3
16,2.53,1.64,1.54,0.92,0.37
17,2.4,1.61,1.6,0.89,0.5
18,2.25,1.57,1.6,0.96,0.62
19,2.11,1.5,1.6,1.07,0.72
20,2.03,1.41,1.64,1.11,0.81
21,1.91,1.31,1.68,1.23,0.87
22,1.86,1.13,1.69,1.28,1.04
23,1.8,1.07,1.55,1.38,1.2
24,1.73,0.97,1.59,1.45,1.26
25,1.65,0.86,1.65,1.35,1.49
26,1.59,0.78,1.7,1.33,1.6
27,1.55,0.69,1.68,1.35,1.73
28,1.5,0.68,1.58,1.32,1.92
29,1.38,0.73,1.51,1.35,2.03
30,1.32,0.7,1.44,1.36,2.18
31,1.28,0.64,1.38,1.36,2.34
32,1.22,0.61,1.31,1.4,2.46
33,1.17,0.53,1.26,1.44,2.6
34,1.12,0.49,1.22,1.36,2.81
35,1.04,0.48,1.2,1.33,2.95
36,0.98,0.49,1.11,1.35,3.07
37,0.94,0.49,1.03,1.37,3.17
38,0.88,0.48,0.99,1.37,3.28
39,0.87,0.4,0.97,1.36,3.4
40,0.82,0.38,0.97,1.33,3.5
41,0.75,0.4,0.93,1.32,3.6
42,0.74,0.38,0.86,1.35,3.67
43,0.66,0.38,0.85,1.28,3.83
44,0.61,0.39,0.81,1.27,3.92
45,0.6,0.36,0.78,1.21,4.05
46,0.59,0.28,0.83,1.16,4.14
47,0.55,0.25,0.83,1.08,4.29
48,0.53,0.26,0.7,1.09,4.42
49,0.52,0.23,0.61,1.07,4.57
50,0.52,0.19,0.56,1.09,4.64
51,0.49,0.18,0.53,1.08,4.72
52,0.45,0.18,0.53,0.99,4.85
53,0.45,0.16,0.48,0.93,4.98
54,0.42,0.18,0.41,0.94,5.05
55,0.41,0.17,0.4,0.85,5.17
56,0.37,0.17,0.4,0.81,5.25
57,0.35,0.19,0.4,0.72,5.34
58,0.34,0.18,0.38,0.69,5.41
59,0.3,0.22,0.33,0.63,5.52
60,0.28,0.21,0.29,0.63,5.59
61,0.28,0.18,0.26,0.57,5.71
62,0.28,0.17,0.22,0.58,5.75
63,0.25,0.19,0.21,0.57,5.78
64,0.24,0.18,0.21,0.56,5.81
65,0.23,0.16,0.22,0.5,5.89
66,0.23,0.13,0.23,0.47,5.94
67,0.22,0.11,0.24,0.44,5.99
68,0.22,0.1,0.2,0.45,6.03
69,0.22,0.09,0.16,0.46,6.07
70,0.21,0.09,0.16,0.46,6.08
71,0.18,0.07,0.18,0.46,6.11
72,0.17,0.07,0.18,0.41,6.17
73,0.15,0.07,0.18,0.41,6.19
74,0.14,0.07,0.19,0.35,6.25
75,0.12,0.09,0.18,0.32,6.29
76,0.1,0.11,0.17,0.3,6.32
77,0.1,0.09,0.19,0.27,6.35
78,0.1,0.08,0.17,0.29,6.36
79,0.1,0.07,0.17,0.28,6.38
80,0.1,0.07,0.17,0.27,6.39
81,0.09,0.08,0.17,0.24,6.42
82,0.09,0.06,0.16,0.25,6.44
83,0.08,0.05,0.16,0.24,6.47
84,0.08,0.05,0.15,0.21,6.51
85,0.07,0.06,0.14,0.22,6.51
86,0.06,0.06,0.15,0.16,6.57
87,0.06,0.04,0.15,0.18,6.57
88,0.06,0.04,0.13,0.17,6.6
89,0.05,0.05,0.12,0.17,6.61
90,0.05,0.04,0.11,0.17,6.63
91,0.05,0.02,0.13,0.16,6.64
92,0.05,0.02,0.11,0.16,6.66
93,0.05,0.02,0.08,0.19,6.66
94,0.05,0.01,0.08,0.19,6.67
95,0.05,0.01,0.07,0.18,6.69
96,0.05,0.01,0.05,0.18,6.71
97,0.05,0.01,0.04,0.15,6.75
98,0.05,0.01,0.04,0.13,6.77
99,0.04,0.02,0.03,0.14,6.77
