time,Normal,Compromised,Down,Mitigated,Recovered
0,17.3,0.7,0.0,0.0,0.0
1,16.66,1.27,0.07,0.0,0.0
2,15.98,1.84,0.18,0.0,0.0
3,15.21,2.46,0.31,0.02,0.0
4,14.51,2.95,0.51,0.03,0.0
5,13.76,3.41,0.77,0.06,0.0
6,13.19,3.74,0.97,0.1,0.0
7,12.4,4.3,1.17,0.11,0.02
8,11.68,4.62,1.53,0.14,0.03
9,11.0,4.88,1.84,0.25,0.03
10,10.27,5.3,2.03,0.36,0.04
11,9.67,5.49,2.31,0.46,0.07
12,9.14,5.55,2.59,0.64,0.08
13,8.6,5.7,2.86,0.68,0.16
14,8.2,5.7,3.1,0.83,0.17
15,7.78,5.62,3.36,1.02,0.22
16,7.57,5.25,3.78,1.12,0.28
17,7.37,5.12,3.95,1.2,0.36
18,7.07,5.07,4.06,1.35,0.45
19,6.85,4.89,4.24,1.51,0.51
20,6.52,4.78,4.48,1.61,0.61
21,6.24,4.64,4.58,1.8,0.74
22,6.01,4.47,4.63,1.97,0.92
23,5.72,4.28,4.74,2.21,1.05
24,5.5,4.14,4.83,2.36,1.17
25,5.27,4.02,4.88,2.58,1.25
26,5.11,3.87,4.85,2.76,1.41
27,4.95,3.71,4.95,2.85,1.54
28,4.74,3.63,5.0,2.94,1.69
29,4.48,3.63,4.93,3.09,1.87
30,4.27,3.57,4.92,3.18,2.06
31,4.14,3.38,4.97,3.24,2.27
32,4.02,3.27,4.91,3.26,2.54
33,3.78,3.21,4.92,3.39,2.7
34,3.69,2.95,4.98,3.47,2.91
35,3.58,2.84,4.87,3.57,3.14
36,3.45,2.76,4.74,3.71,3.34
37,3.28,2.66,4.77,3.72,3.57
38,3.13,2.6,4.64,3.86,3.77
39,3.0,2.53,4.61,3.88,3.98
40,2.89,2.4,4.48,4.09,4.14
41,2.82,2.3,4.33,4.17,4.38
42,2.73,2.22,4.32,4.09,4.64
43,2.63,2.18,4.16,4.14,4.89
44,2.5,2.07,4.11,4.18,5.14
45,2.39,1.97,3.98,4.28,5.38
46,2.32,1.89,3.95,4.26,5.58
47,2.25,1.77,4.0,4.21,5.77
48,2.17,1.65,3.97,4.17,6.04
49,2.09,1.57,3.97,4.04,6.33
50,1.9,1.62,3.81,4.0,6.67
51,1.87,1.49,3.7,4.06,6.88
52,1.83,1.37,3.72,3.99,7.09
53,1.78,1.29,3.56,4.0,7.37
54,1.76,1.2,3.48,4.04,7.52
55,1.71,1.15,3.45,3.95,7.74
56,1.62,1.22,3.23,3.98,7.95
57,1.57,1.18,3.14,3.84,8.27
58,1.54,1.1,3.01,3.82,8.53
59,1.51,1.02,2.97,3.69,8.81
60,1.45,1.01,2.83,3.7,9.01
61,1.37,1.05,2.71,3.65,9.22
62,1.3,1.0,2.67,3.58,9.45
63,1.26,0.97,2.56,3.52,9.69
64,1.18,0.96,2.47,3.45,9.94
65,1.15,0.96,2.34,3.46,10.09
66,1.09,0.94,2.28,3.38,10.31
67,1.05,0.88,2.27,3.35,10.45
68,1.0,0.84,2.23,3.25,10.68
69,0.95,0.83,2.18,3.18,10.86
70,0.9,0.83,2.08,3.06,11.13
71,0.88,0.82,2.02,3.01,11.27
72,0.86,0.82,1.94,2.95,11.43
73,0.83,0.78,1.91,2.88,11.6
74,0.82,0.73,1.85,2.79,11.81
75,0.78,0.71,1.72,2.79,12.0
76,0.76,0.61,1.71,2.75,12.17
77,0.76,0.57,1.6,2.63,12.44
78,0.74,0.53,1.58,2.51,12.64
79,0.69,0.56,1.48,2.43,12.84
80,0.68,0.54,1.4,2.34,13.04
81,0.67,0.47,1.41,2.32,13.13
82,0.62,0.49,1.33,2.34,13.22
83,0.59,0.51,1.27,2.31,13.32
84,0.57,0.51,1.21,2.16,13.55
85,0.56,0.49,1.15,2.13,13.67
86,0.55,0.44,1.14,2.11,13.76
87,0.54,0.45,1.11,1.97,13.93
88,0.52,0.43,1.13,1.84,14.08
89,0.51,0.42,1.06,1.87,14.14
90,0.47,0.44,1.06,1.8,14.23
91,0.44,0.43,1.01,1.8,14.32
92,0.42,0.43,1.01,1.67,14.47
93,0.39,0.43,0.98,1.59,14.61
94,0.39,0.39,0.89,1.6,14.73
95,0.36,0.39,0.84,1.57,14.84
96,0.32,0.38,0.81,1.57,14.92
97,0.3,0.38,0.78,1.52,15.02
98,0.3,0.35,0.76,1.51,15.08
99,0.3,0.31,0.74,1.5,15.15
