time,Normal,Compromised,Down,Mitigated,Recovered
0,85.41,3.59,0.0,0.0,0.0
1,80.77,7.94,0.29,0.0,0.0
2,74.66,13.28,1.02,0.04,0.0
3,67.23,19.5,2.18,0.09,0.0
4,59.18,25.7,3.91,0.21,0.0
5,50.68,31.84,5.99,0.48,0.01
6,41.93,37.89,8.31,0.83,0.04
7,33.94,42.36,11.34,1.24,0.12
8,26.73,45.48,14.76,1.84,0.19
9,21.06,46.81,18.24,2.56,0.33
10,16.36,47.67,20.81,3.72,0.44
11,12.49,47.3,23.51,5.02,0.68
12,9.72,45.65,26.2,6.44,0.99
13,7.85,43.09,28.77,7.89,1.4
14,6.15,40.88,30.68,9.25,2.04
15,5.9,37.44,32.39,10.56,2.71
16,5.68,34.3,33.33,12.26,3.43
17,5.47,31.21,34.21,13.96,4.15
18,5.2,28.98,34.5,15.15,5.17
19,4.99,26.5,34.95,16.35,6.21
20,4.68,24.19,35.1,17.75,7.28
21,4.48,22.17,34.92,18.69,8.74
22,4.33,20.31,34.48,19.87,10.01
23,4.14,18.44,34.25,20.69,11.48
24,3.88,17.11,33.49,21.66,12.86
25,3.71,15.83,32.82,22.22,14.42
26,3.51,14.53,31.85,22.98,16.13
27,3.37,13.47,31.08,23.28,17.8
28,3.26,12.52,29.97,24.17,19.08
29,3.14,11.54,28.87,24.82,20.63
30,2.94,10.57,27.83,25.16,22.5
31,2.87,9.75,26.75,25.29,24.34
32,2.78,8.89,25.96,25.39,25.98
33,2.64,8.23,25.19,24.83,28.11
34,2.55,7.5,24.29,24.8,29.86
35,2.46,6.87,23.22,25.03,31.42
36,2.37,6.33,22.11,25.19,33.0
37,2.29,5.88,21.31,24.98,34.54
38,2.24,5.4,20.28,24.85,36.23
39,2.18,4.96,19.33,24.78,37.75
40,2.02,4.66,18.48,24.26,39.58
41,1.95,4.3,17.59,23.86,41.3
42,1.9,4.04,16.84,23.37,42.85
43,1.84,3.79,16.01,22.85,44.51
44,1.78,3.48,15.33,22.31,46.1
45,1.77,3.21,14.67,21.71,47.64
46,1.68,2.99,14.14,21.39,48.8
47,1.61,2.84,13.27,21.08,50.2
48,1.53,2.76,12.54,20.52,51.65
49,1.45,2.61,12.0,19.68,53.26
50,1.42,2.47,11.4,18.98,54.73
51,1.33,2.35,10.82,18.57,55.93
52,1.27,2.24,10.17,18.01,57.31
53,1.23,2.05,9.53,17.72,58.47
54,1.15,1.98,8.87,17.3,59.7
55,1.11,1.93,8.3,16.83,60.83
56,1.0,1.87,7.93,16.23,61.97
57,0.94,1.79,7.52,15.76,62.99
58,0.93,1.6,7.23,15.24,64.0
59,0.86,1.44,7.02,14.5,65.18
60,0.84,1.33,6.71,13.87,66.25
61,0.8,1.25,6.4,13.36,67.19
62,0.77,1.16,6.21,12.64,68.22
63,0.73,1.05,5.96,12.29,68.97
64,0.7,0.96,5.63,11.88,69.83
65,0.67,0.93,5.25,11.51,70.64
66,0.63,0.88,4.99,11.14,71.36
67,0.6,0.85,4.72,10.74,72.09
68,0.6,0.76,4.45,10.36,72.83
69,0.58,0.75,4.15,9.95,73.57
70,0.55,0.71,3.99,9.4,74.35
71,0.53,0.67,3.76,9.03,75.01
72,0.51,0.64,3.56,8.62,75.67
73,0.49,0.6,3.29,8.27,76.35
74,0.46,0.58,3.1,7.94,76.92
75,0.45,0.54,2.94,7.56,77.51
76,0.45,0.53,2.81,7.15,78.06
77,0.41,0.52,2.57,7.01,78.49
78,0.38,0.5,2.43,6.58,79.11
79,0.37,0.46,2.26,6.42,79.49
80,0.36,0.44,2.14,6.13,79.93
81,0.36,0.35,2.11,5.82,80.36
82,0.35,0.34,1.97,5.61,80.73
83,0.35,0.3,1.88,5.31,81.16
84,0.34,0.29,1.7,5.23,81.44
85,0.32,0.29,1.6,5.08,81.71
86,0.3,0.3,1.41,4.89,82.1
87,0.29,0.28,1.39,4.5,82.54
88,0.28,0.22,1.39,4.38,82.73
89,0.27,0.23,1.34,4.15,83.01
90,0.26,0.23,1.29,3.95,83.27
91,0.24,0.22,1.27,3.7,83.57
92,0.24,0.2,1.11,3.67,83.78
93,0.24,0.19,1.05,3.53,83.99
94,0.24,0.16,1.01,3.42,84.17
95,0.24,0.16,0.97,3.28,84.35
96,0.22,0.16,0.92,3.18,84.52
97,0.2,0.18,0.83,3.09,84.7
98,0.2,0.16,0.78,2.93,84.93
99,0.17,0.17,0.74,2.86,85.06
