time,Normal,Compromised,Down,Mitigated,Recovered
0,7.76,0.24,0.0,0.0,0.0
1,7.51,0.45,0.04,0.0,0.0
2,7.17,0.74,0.09,0.0,0.0
3,6.89,0.96,0.13,0.02,0.0
4,6.57,1.21,0.2,0.02,0.0
5,6.27,1.44,0.25,0.04,0.0
6,5.95,1.63,0.36,0.05,0.01
7,5.68,1.68,0.57,0.06,0.01
8,5.41,1.77,0.69,0.1,0.03
9,5.1,1.85,0.87,0.14,0.04
10,4.85,1.93,0.99,0.15,0.08
11,4.64,2.0,1.08,0.14,0.14
12,4.46,1.99,1.18,0.22,0.15
13,4.24,1.98,1.33,0.27,0.18
14,4.03,1.94,1.46,0.37,0.2
15,3.84,1.92,1.55,0.45,0.24
16,3.68,1.9,1.64,0.52,0.26
17,3.55,1.78,1.71,0.67,0.29
18,3.38,1.73,1.77,0.78,0.34
19,3.22,1.7,1.86,0.8,0.42
20,3.09,1.64,1.89,0.88,0.5
21,2.96,1.57,1.97,0.96,0.54
22,2.83,1.5,2.05,1.01,0.61
23,2.76,1.42,1.97,1.2,0.65
24,2.66,1.33,1.99,1.29,0.73
25,2.55,1.33,1.93,1.36,0.83
26,2.47,1.28,1.79,1.48,0.98
27,2.33,1.27,1.8,1.52,1.08
28,2.23,1.28,1.76,1.51,1.22
29,2.06,1.29,1.77,1.56,1.32
30,1.96,1.27,1.67,1.67,1.43
31,1.89,1.18,1.69,1.69,1.55
32,1.8,1.19,1.66,1.71,1.64
33,1.71,1.16,1.62,1.73,1.78
34,1.65,1.08,1.65,1.72,1.9
35,1.57,1.05,1.66,1.59,2.13
36,1.48,1.05,1.64,1.63,2.2
37,1.42,0.98,1.67,1.64,2.29
38,1.35,0.95,1.69,1.58,2.43
39,1.29,0.94,1.7,1.51,2.56
40,1.22,0.97,1.59,1.52,2.7
41,1.15,0.94,1.59,1.57,2.75
42,1.12,0.88,1.53,1.6,2.87
43,1.06,0.91,1.42,1.62,2.99
44,1.04,0.86,1.4,1.6,3.1
45,0.99,0.79,1.44,1.56,3.22
46,0.92,0.78,1.36,1.58,3.36
47,0.89,0.75,1.34,1.58,3.44
48,0.87,0.67,1.23,1.72,3.51
49,0.84,0.62,1.16,1.71,3.67
50,0.82,0.59,1.1,1.72,3.77
51,0.81,0.54,1.08,1.68,3.89
52,0.75,0.57,1.02,1.69,3.97
53,0.72,0.52,1.02,1.64,4.1
54,0.69,0.49,1.04,1.52,4.26
55,0.66,0.43,1.07,1.46,4.38
56,0.63,0.37,1.09,1.41,4.5
57,0.61,0.35,1.08,1.29,4.67
58,0.57,0.34,1.03,1.33,4.73
59,0.55,0.35,0.98,1.2,4.92
60,0.55,0.32,0.89,1.23,5.01
61,0.52,0.32,0.87,1.14,5.15
62,0.48,0.35,0.8,1.15,5.22
63,0.43,0.36,0.76,1.11,5.34
64,0.41,0.35,0.76,1.1,5.38
65,0.39,0.34,0.75,1.06,5.46
66,0.37,0.33,0.73,1.05,5.52
67,0.34,0.32,0.66,1.07,5.61
68,0.33,0.32,0.63,1.02,5.7
69,0.31,0.3,0.61,1.04,5.74
70,0.3,0.27,0.63,0.9,5.9
71,0.29,0.24,0.61,0.94,5.92
72,0.29,0.2,0.64,0.84,6.03
73,0.27,0.18,0.62,0.86,6.07
74,0.27,0.17,0.54,0.89,6.13
75,0.27,0.17,0.51,0.84,6.21
76,0.27,0.16,0.47,0.82,6.28
77,0.25,0.13,0.45,0.82,6.35
78,0.24,0.14,0.42,0.78,6.42
79,0.23,0.15,0.36,0.78,6.48
80,0.23,0.12,0.34,0.75,6.56
81,0.23,0.11,0.32,0.71,6.63
82,0.21,0.13,0.29,0.68,6.69
83,0.2,0.13,0.29,0.63,6.75
84,0.2,0.12,0.28,0.62,6.78
85,0.2,0.11,0.29,0.54,6.86
86,0.2,0.1,0.3,0.5,6.9
87,0.19,0.11,0.28,0.44,6.98
88,0.19,0.11,0.27,0.42,7.01
89,0.19,0.1,0.27,0.41,7.03
90,0.19,0.07,0.28,0.39,7.07
91,0.18,0.08,0.26,0.38,7.1
92,0.16,0.09,0.25,0.36,7.14
93,0.14,0.1,0.23,0.37,7.16
94,0.13,0.09,0.22,0.35,7.21
95,0.12,0.1,0.21,0.35,7.22
96,0.12,0.09,0.2,0.35,7.24
97,0.12,0.09,0.18,0.36,7.25
98,0.11,0.09,0.19,0.34,7.27
99,0.11,0.08,0.18,0.33,7.3
