time,Normal,Compromised,Down,Mitigated,Recovered
0,4.83,0.17,0.0,0.0,0.0
1,4.63,0.35,0.02,0.0,0.0
2,4.46,0.45,0.08,0.01,0.0
3,4.19,0.61,0.19,0.01,0.0
4,4.02,0.67,0.25,0.06,0.0
5,3.8,0.83,0.31,0.06,0.0
6,3.61,0.95,0.34,0.09,0.01
7,3.43,0.94,0.52,0.09,0.02
8,3.16,1.08,0.6,0.13,0.03
9,3.03,1.02,0.72,0.2,0.03
10,2.89,1.03,0.79,0.22,0.07
11,2.71,1.05,0.88,0.26,0.1
12,2.55,1.05,1.01,0.27,0.12
13,2.45,0.99,1.07,0.33,0.16
14,2.31,0.96,1.13,0.39,0.21
15,2.16,0.96,1.2,0.4,0.28
16,2.08,0.87,1.24,0.48,0.33
17,1.96,0.87,1.26,0.56,0.35
18,1.85,0.83,1.26,0.68,0.38
19,1.75,0.76,1.33,0.69,0.47
20,1.67,0.71,1.32,0.76,0.54
21,1.55,0.71,1.36,0.79,0.59
22,1.45,0.7,1.32,0.86,0.67
23,1.4,0.65,1.29,0.86,0.8
24,1.33,0.6,1.31,0.88,0.88
25,1.25,0.6,1.24,0.88,1.03
26,1.19,0.62,1.12,0.93,1.14
27,1.17,0.53,1.13,0.88,1.29
28,1.13,0.5,1.06,0.95,1.36
29,1.1,0.44,1.06,0.9,1.5
30,1.05,0.47,0.93,0.98,1.57
31,1.01,0.36,0.98,0.99,1.66
32,0.96,0.36,0.95,0.98,1.75
33,0.92,0.36,0.9,0.98,1.84
34,0.88,0.33,0.91,0.95,1.93
35,0.83,0.35,0.87,0.96,1.99
36,0.82,0.29,0.88,0.88,2.13
37,0.79,0.29,0.85,0.8,2.27
38,0.77,0.27,0.76,0.84,2.36
39,0.75,0.21,0.77,0.83,2.44
40,0.72,0.2,0.68,0.87,2.53
41,0.67,0.24,0.64,0.8,2.65
42,0.62,0.24,0.64,0.74,2.76
43,0.6,0.22,0.62,0.71,2.85
44,0.59,0.22,0.59,0.68,2.92
45,0.57,0.23,0.54,0.66,3.0
46,0.54,0.24,0.5,0.67,3.05
47,0.53,0.23,0.43,0.71,3.1
48,0.47,0.26,0.44,0.64,3.19
49,0.45,0.24,0.45,0.62,3.24
50,0.43,0.2,0.47,0.57,3.33
51,0.39,0.2,0.45,0.56,3.4
52,0.38,0.18,0.43,0.52,3.49
53,0.37,0.15,0.47,0.47,3.54
54,0.35,0.15,0.44,0.47,3.59
55,0.35,0.13,0.46,0.43,3.63
56,0.34,0.14,0.41,0.42,3.69
57,0.32,0.13,0.39,0.42,3.74
58,0.32,0.11,0.39,0.37,3.81
59,0.32,0.1,0.37,0.34,3.87
60,0.32,0.09,0.36,0.34,3.89
61,0.32,0.07,0.34,0.33,3.94
62,0.32,0.06,0.33,0.3,3.99
63,0.31,0.05,0.3,0.32,4.02
64,0.31,0.02,0.31,0.31,4.05
65,0.27,0.06,0.29,0.31,4.07
66,0.27,0.06,0.25,0.34,4.08
67,0.25,0.05,0.27,0.29,4.14
68,0.24,0.05,0.26,0.29,4.16
69,0.24,0.05,0.24,0.27,4.2
70,0.23,0.04,0.24,0.28,4.21
71,0.23,0.04,0.23,0.28,4.22
72,0.21,0.06,0.21,0.28,4.24
73,0.18,0.09,0.18,0.28,4.27
74,0.17,0.09,0.17,0.27,4.3
75,0.17,0.07,0.18,0.27,4.31
76,0.15,0.09,0.16,0.24,4.36
77,0.14,0.08,0.17,0.23,4.38
78,0.13,0.08,0.17,0.22,4.4
79,0.13,0.08,0.14,0.24,4.41
80,0.13,0.06,0.13,0.26,4.42
81,0.12,0.06,0.11,0.28,4.43
82,0.12,0.04,0.13,0.27,4.44
83,0.12,0.04,0.1,0.26,4.48
84,0.12,0.03,0.1,0.25,4.5
85,0.12,0.03,0.09,0.24,4.52
86,0.1,0.04,0.09,0.19,4.58
87,0.09,0.05,0.08,0.2,4.58
88,0.09,0.04,0.09,0.19,4.59
89,0.08,0.05,0.09,0.18,4.6
90,0.08,0.05,0.09,0.15,4.63
91,0.08,0.02,0.12,0.14,4.64
92,0.08,0.02,0.1,0.13,4.67
93,0.08,0.02,0.09,0.13,4.68
94,0.08,0.02,0.09,0.11,4.7
95,0.08,0.02,0.08,0.1,4.72
96,0.08,0.01,0.08,0.08,4.75
97,0.08,0.01,0.08,0.08,4.75
98,0.08,0.01,0.06,0.09,4.76
99,0.08,0.01,0.05,0.1,4.76
