time,Normal,Compromised,Down,Mitigated,Recovered
0,144.54,8.36,0.1,0.0,0.0
1,118.65,33.41,0.93,0.01,0.0
2,62.38,86.51,4.03,0.08,0.0
3,12.91,127.37,12.39,0.32,0.01
4,1.28,126.26,24.07,1.36,0.03
5,0.09,114.65,35.12,3.02,0.12
6,0.03,103.38,43.58,5.67,0.34
7,0.01,93.36,49.89,9.02,0.72
8,0.0,84.37,54.88,12.38,1.37
9,0.0,75.99,58.74,15.93,2.34
10,0.0,68.71,61.01,19.76,3.52
11,0.0,61.82,63.47,22.81,4.9
12,0.0,55.75,64.15,26.59,6.51
13,0.0,49.77,64.98,29.88,8.37
14,0.0,44.62,64.79,33.32,10.27
15,0.0,40.0,64.54,35.76,12.7
16,0.0,36.11,63.59,38.2,15.1
17,0.0,32.46,61.91,40.67,17.96
18,0.0,29.3,60.51,42.14,21.05
19,0.0,26.6,58.35,44.11,23.94
20,0.0,24.18,56.08,45.32,27.42
21,0.0,21.92,53.64,46.76,30.68
22,0.0,19.76,51.44,47.95,33.85
23,0.0,17.68,49.35,48.95,37.02
24,0.0,15.85,47.01,49.42,40.72
25,0.0,14.19,44.98,49.74,44.09
26,0.0,12.85,42.64,49.68,47.83
27,0.0,11.67,40.02,49.74,51.57
28,0.0,10.58,37.99,49.01,55.42
29,0.0,9.52,36.01,48.69,58.78
30,0.0,8.61,34.16,47.92,62.31
31,0.0,7.56,32.57,47.17,65.7
32,0.0,6.71,30.86,46.46,68.97
33,0.0,6.04,29.34,45.61,72.01
34,0.0,5.56,27.51,44.66,75.27
35,0.0,4.93,25.87,43.74,78.46
36,0.0,4.35,24.21,42.91,81.53
37,0.0,4.04,22.7,41.9,84.36
38,0.0,3.71,21.1,41.14,87.05
39,0.0,3.38,19.77,39.69,90.16
40,0.0,3.01,18.55,38.55,92.89
41,0.0,2.71,17.18,37.69,95.42
42,0.0,2.53,16.0,36.41,98.06
43,0.0,2.24,15.04,34.95,100.77
44,0.0,1.9,14.16,33.73,103.21
45,0.0,1.75,13.28,32.42,105.55
46,0.0,1.58,12.64,30.89,107.89
47,0.0,1.44,11.63,29.99,109.94
48,0.0,1.26,10.8,28.97,111.97
49,0.0,1.15,10.03,27.95,113.87
50,0.0,0.99,9.38,26.83,115.8
51,0.0,0.89,8.66,25.91,117.54
52,0.0,0.82,8.02,24.79,119.37
53,0.0,0.74,7.29,23.89,121.08
54,0.0,0.65,6.89,22.77,122.69
55,0.0,0.59,6.41,21.65,124.35
56,0.0,0.56,5.96,20.57,125.91
57,0.0,0.52,5.54,19.69,127.25
58,0.0,0.5,5.12,18.74,128.64
59,0.0,0.45,4.77,17.69,130.09
60,0.0,0.4,4.44,16.83,131.33
61,0.0,0.34,4.11,16.05,132.5
62,0.0,0.34,3.82,15.09,133.75
63,0.0,0.32,3.52,14.19,134.97
64,0.0,0.28,3.25,13.67,135.8
65,0.0,0.25,3.06,12.84,136.85
66,0.0,0.19,2.87,12.12,137.82
67,0.0,0.16,2.75,11.34,138.75
68,0.0,0.14,2.53,10.76,139.57
69,0.0,0.11,2.38,10.26,140.25
70,0.0,0.1,2.19,9.89,140.82
71,0.0,0.1,1.93,9.44,141.53
72,0.0,0.09,1.81,8.88,142.22
73,0.0,0.09,1.69,8.39,142.83
74,0.0,0.09,1.57,7.89,143.45
75,0.0,0.09,1.38,7.54,143.99
76,0.0,0.08,1.29,7.14,144.49
77,0.0,0.07,1.22,6.71,145.0
78,0.0,0.05,1.16,6.33,145.46
79,0.0,0.05,1.07,5.91,145.97
80,0.0,0.04,0.97,5.57,146.42
81,0.0,0.04,0.91,5.24,146.81
82,0.0,0.03,0.83,4.88,147.26
83,0.0,0.03,0.75,4.53,147.69
84,0.0,0.03,0.72,4.22,148.03
85,0.0,0.02,0.67,4.0,148.31
86,0.0,0.02,0.59,3.78,148.61
87,0.0,0.01,0.55,3.54,148.9
88,0.0,0.01,0.51,3.35,149.13
89,0.0,0.01,0.43,3.18,149.38
90,0.0,0.0,0.43,2.95,149.62
91,0.0,0.0,0.35,2.81,149.84
92,0.0,0.0,0.33,2.6,150.07
93,0.0,0.0,0.27,2.49,150.24
94,0.0,0.0,0.24,2.28,150.48
95,0.0,0.0,0.23,2.18,150.59
96,0.0,0.0,0.22,2.04,150.74
97,0.0,0.0,0.2,1.94,150.86
98,0.0,0.0,0.19,1.82,150.99
99,0.0,0.0,0.16,1.63,151.21
