time,Normal,Compromised,Down,Mitigated,Recovered
0,38.24,0.76,0.0,0.0,0.0
1,37.34,1.62,0.04,0.0,0.0
2,36.03,2.86,0.11,0.0,0.0
3,34.65,4.1,0.24,0.01,0.0
4,32.95,5.56,0.46,0.03,0.0
5,30.93,7.29,0.74,0.04,0.0
6,28.8,9.1,1.03,0.07,0.0
7,26.71,10.7,1.47,0.12,0.0
8,24.29,12.62,1.9,0.18,0.01
9,21.73,14.58,2.43,0.23,0.03
10,19.16,16.45,3.0,0.35,0.04
11,16.87,17.89,3.67,0.51,0.06
12,14.79,19.16,4.31,0.64,0.1
13,12.88,19.99,5.16,0.85,0.12
14,11.1,20.65,6.07,1.0,0.18
15,10.93,19.67,6.95,1.26,0.19
16,10.7,19.0,7.54,1.54,0.22
17,10.52,18.27,7.98,1.95,0.28
18,10.29,17.66,8.47,2.21,0.37
19,10.14,17.04,8.89,2.42,0.51
20,9.89,16.48,9.37,2.6,0.66
21,9.65,15.87,9.74,2.94,0.8
22,9.53,15.19,10.07,3.23,0.98
23,9.27,14.66,10.33,3.6,1.14
24,9.09,14.05,10.52,4.0,1.34
25,8.88,13.55,10.58,4.38,1.61
26,8.74,12.96,10.72,4.76,1.82
27,8.47,12.7,10.83,4.92,2.08
28,8.28,12.26,10.99,5.12,2.35
29,8.1,11.77,11.11,5.37,2.65
30,7.96,11.32,11.23,5.66,2.83
31,7.76,11.0,11.18,6.02,3.04
32,7.58,10.61,11.27,6.24,3.3
33,7.39,10.18,11.14,6.7,3.59
34,7.18,9.77,11.19,6.95,3.91
35,7.05,9.42,11.1,7.19,4.24
36,6.95,8.97,11.04,7.42,4.62
37,6.82,8.63,11.05,7.45,5.05
38,6.71,8.43,10.84,7.7,5.32
39,6.6,8.06,10.82,7.9,5.62
40,6.45,7.78,10.63,8.18,5.96
41,6.31,7.46,10.57,8.24,6.42
42,6.22,7.19,10.5,8.25,6.84
43,6.11,6.99,10.24,8.45,7.21
44,6.01,6.83,9.98,8.48,7.7
45,5.89,6.58,9.82,8.54,8.17
46,5.8,6.32,9.65,8.63,8.6
47,5.63,6.23,9.49,8.59,9.06
48,5.49,6.12,9.34,8.52,9.53
49,5.43,5.86,9.23,8.61,9.87
50,5.36,5.63,9.08,8.53,10.4
51,5.23,5.42,9.04,8.41,10.9
52,5.13,5.19,8.89,8.44,11.35
53,4.97,5.05,8.79,8.45,11.74
54,4.84,4.98,8.55,8.58,12.05
55,4.75,4.84,8.39,8.53,12.49
56,4.65,4.76,8.16,8.64,12.79
57,4.58,4.62,8.0,8.56,13.24
58,4.5,4.48,7.9,8.47,13.65
59,4.37,4.49,7.66,8.37,14.11
60,4.24,4.46,7.42,8.45,14.43
61,4.15,4.33,7.25,8.35,14.92
62,4.04,4.19,7.09,8.36,15.32
63,3.96,4.1,6.92,8.36,15.66
64,3.86,4.01,6.77,8.27,16.09
65,3.81,3.91,6.55,8.26,16.47
66,3.71,3.89,6.33,8.21,16.86
67,3.68,3.72,6.16,8.2,17.24
68,3.62,3.62,5.97,8.15,17.64
69,3.55,3.53,5.77,8.15,18.0
70,3.51,3.42,5.62,8.03,18.42
71,3.41,3.37,5.42,8.08,18.72
72,3.37,3.27,5.23,8.07,19.06
73,3.26,3.25,5.16,7.78,19.55
74,3.21,3.1,5.14,7.59,19.96
75,3.13,3.06,4.98,7.45,20.38
76,3.03,3.0,4.94,7.28,20.75
77,2.99,2.86,4.83,7.24,21.08
78,2.87,2.9,4.71,7.02,21.5
79,2.82,2.83,4.61,6.99,21.75
80,2.78,2.71,4.54,6.88,22.09
81,2.71,2.55,4.57,6.77,22.4
82,2.63,2.46,4.5,6.72,22.69
83,2.57,2.41,4.35,6.61,23.06
84,2.54,2.33,4.32,6.45,23.36
85,2.48,2.27,4.22,6.26,23.77
86,2.44,2.23,4.07,6.24,24.02
87,2.38,2.19,4.0,6.13,24.3
88,2.32,2.06,4.0,6.01,24.61
89,2.27,1.97,3.94,5.9,24.92
90,2.23,1.87,3.94,5.83,25.13
91,2.19,1.81,3.89,5.66,25.45
92,2.14,1.76,3.73,5.67,25.7
93,2.11,1.65,3.74,5.53,25.97
94,2.08,1.6,3.62,5.41,26.29
95,2.03,1.57,3.55,5.29,26.56
96,1.95,1.56,3.53,5.11,26.85
97,1.95,1.47,3.46,5.01,27.11
98,1.94,1.42,3.25,5.0,27.39
99,1.91,1.35,3.15,4.95,27.64
